datetime,rainfall,airtemp,airhum,windspeed,windir,airpress,uvrad,DoY,Jam
2022-09-07 06:00:00,0.0,22.8,94.92,0.08,0.05750252534912421,1008.52,0.0,0.0396704284937971,0.960170286650366
2022-09-07 07:00:00,0.0,24.0,94.92,0.59,-0.9715921906288022,1009.24,0.0,0.0396704284937971,0.7539022543433046
2022-09-07 08:00:00,0.0,28.1,89.32,4.72,-0.9317223617435201,1009.8,0.0,0.0396704284937971,-0.14550003380861354
2022-09-07 09:00:00,0.0,29.8,83.38,5.86,0.9439841391523142,1010.3,0.0,0.0396704284937971,-0.9111302618846769
2022-09-07 10:00:00,0.0,32.18,73.82,4.77,-0.8090099069535975,1010.0,0.0,0.0396704284937971,-0.8390715290764524
2022-09-07 11:00:00,0.0,32.2,72.04,6.98,-0.4480736161291701,1009.5,0.0,0.0396704284937971,0.004425697988050785
2022-09-07 12:00:00,0.0,33.36,66.12,3.82,0.8754448901342752,1008.1,0.0,0.0396704284937971,0.8438539587324921
2022-09-07 13:00:00,0.0,25.8,94.92,7.36,0.9736488930495181,1008.04,0.0,0.0396704284937971,0.9074467814501962
2022-09-07 14:00:00,0.6,28.5,84.22,5.19,-0.5984600690578581,1006.82,0.0,0.0396704284937971,0.1367372182078336
2022-09-07 15:00:00,0.0,30.8,70.56,6.29,-0.7931364191664784,1006.1,0.0,0.0396704284937971,-0.7596879128588213
2022-09-07 16:00:00,0.0,30.8,73.0,10.73,-0.6928958219201651,1006.1,0.0,0.0396704284937971,-0.9576594803233847
2022-09-07 17:00:00,,,,,,,,0.0396704284937971,-0.27516333805159693
2022-09-07 18:00:00,,,,,,,,0.0396704284937971,0.6603167082440802
2022-09-07 19:00:00,,,,,,,,0.0396704284937971,0.9887046181866692
2022-09-07 20:00:00,,,,,,,,0.0396704284937971,0.40808206181339196
2022-09-07 21:00:00,,,,,,,,0.0396704284937971,-0.5477292602242684
2022-09-07 22:00:00,,,,,,,,0.0396704284937971,-0.9999608263946371
2022-09-07 23:00:00,,,,,,,,0.0396704284937971,-0.5328330203333975
2022-09-08 00:00:00,,,,,,,,-0.8114450823592564,1.0
2022-09-08 01:00:00,,,,,,,,-0.8114450823592564,0.5403023058681398
2022-09-08 02:00:00,,,,,,,,-0.8114450823592564,-0.4161468365471424
2022-09-08 03:00:00,,,,,,,,-0.8114450823592564,-0.9899924966004454
2022-09-08 04:00:00,,,,,,,,-0.8114450823592564,-0.6536436208636119
2022-09-08 05:00:00,,,,,,,,-0.8114450823592564,0.28366218546322625
2022-09-08 06:00:00,,,,,,,,-0.8114450823592564,0.960170286650366
2022-09-08 07:00:00,,,,,,,,-0.8114450823592564,0.7539022543433046
2022-09-08 08:00:00,,,,,,,,-0.8114450823592564,-0.14550003380861354
2022-09-08 09:00:00,0.0,26.0,94.92,0.5,-0.9911988217552068,1012.8,0.0,-0.8114450823592564,-0.9111302618846769
2022-09-08 10:00:00,0.0,26.0,94.92,0.97,0.33416538263076073,1012.88,0.0,-0.8114450823592564,-0.8390715290764524
2022-09-08 11:00:00,0.0,25.8,94.92,1.37,-0.5402769400239504,1012.3,0.0,-0.8114450823592564,0.004425697988050785
2022-09-08 12:00:00,0.2,25.5,94.92,3.21,0.8293266768209027,1011.6,0.0,-0.8114450823592564,0.8438539587324921
2022-09-08 13:00:00,0.4,26.2,94.92,6.92,-0.03979075993115771,1010.5,0.0,-0.8114450823592564,0.9074467814501962
2022-09-08 14:00:00,0.2,26.3,94.92,3.24,0.5025703802614231,1009.4,0.0,-0.8114450823592564,0.1367372182078336
2022-09-08 15:00:00,0.0,26.9,93.7,3.97,-0.892018495407942,1008.9,0.0,-0.8114450823592564,-0.7596879128588213
2022-09-08 16:00:00,0.0,26.6,93.96,0.61,1.0,1008.52,0.0,-0.8114450823592564,-0.9576594803233847
2022-09-08 17:00:00,0.0,25.8,94.92,0.0,1.0,1008.32,0.0,-0.8114450823592564,-0.27516333805159693
2022-09-08 18:00:00,0.0,25.04,94.92,0.0,1.0,1008.52,0.0,-0.8114450823592564,0.6603167082440802
2022-09-08 19:00:00,0.0,24.8,94.92,0.0,1.0,1009.18,0.0,-0.8114450823592564,0.9887046181866692
2022-09-08 20:00:00,0.0,24.6,94.92,0.0,1.0,1010.2,0.0,-0.8114450823592564,0.40808206181339196
2022-09-08 21:00:00,0.0,24.7,94.92,0.0,1.0,1010.9,0.0,-0.8114450823592564,-0.5477292602242684
2022-09-08 22:00:00,0.0,24.4,94.92,0.0,1.0,1011.48,0.0,-0.8114450823592564,-0.9999608263946371
2022-09-08 23:00:00,0.0,24.2,94.92,0.0,1.0,1011.14,0.0,-0.8114450823592564,-0.5328330203333975
2022-09-09 00:00:00,0.0,24.26,94.92,0.0,1.0,1010.8,0.0,-0.9351459258191755,1.0
2022-09-09 01:00:00,0.0,24.3,94.92,0.1,1.0,1009.96,0.0,-0.9351459258191755,0.5403023058681398
2022-09-09 02:00:00,0.0,24.18,94.92,0.0,-0.5025443191453852,1009.3,0.0,-0.9351459258191755,-0.4161468365471424
2022-09-09 03:00:00,0.0,24.0,94.92,0.0,-0.5025443191453852,1008.8,0.0,-0.9351459258191755,-0.9899924966004454
