,datetime,rainfall,airtemp,airhum,windspeed,windir,airpress,uvrad
82,6/4/2023 10:00,0.00,31.00,82.40,3.78,14,1009.78,3.53
83,6/4/2023 11:00,0.00,33.00,80.32,2.95,10,1009.44,4.23
84,6/4/2023 12:00,0.00,33.60,69.46,1.87,38,1008.62,7.05
85,6/4/2023 13:00,0.00,34.70,67.72,2.32,29,1007.54,3.96
86,6/4/2023 14:00,0.00,35.20,62.50,2.02,93,1006.36,2.53
87,6/4/2023 15:00,0.00,34.62,61.80,2.54,40,1005.6,0.73
88,6/4/2023 16:00,0.00,33.00,59.56,2.12,348,1005.48,0.28
89,6/4/2023 17:00,0.00,30.40,68.10,1.94,348,1006,0
90,6/4/2023 18:00,0.00,28.00,82.72,2.46,354,1006.5,0
91,6/4/2023 19:00,0.00,26.60,86.34,1.83,280,1007.6,0
92,6/4/2023 20:00,0.00,26.60,86.34,1.20,346,1008.2,0
93,6/4/2023 21:00,0.00,25.86,90.80,0.79,330,1008.58,0
94,6/4/2023 22:00,0.00,25.80,91.10,1.64,349,1008.92,0
95,6/4/2023 23:00,0.00,25.00,90.70,0.31,10,1008.82,0
96,6/5/2023 0:00,0.00,24.72,87.70,0.07,94,1008.98,0
97,6/5/2023 1:00,0.00,24.40,84.80,0.10,262,1008.38,0
98,6/5/2023 2:00,0.00,24.30,83.80,0.01,326,1008.22,0
99,6/5/2023 3:00,0.00,24.10,83.60,0.05,192,1007.78,0
100,6/5/2023 4:00,0.00,24.00,83.80,0.05,192,1007.88,0
101,6/5/2023 5:00,0.00,23.70,84.36,0.04,185,1008.18,0
102,6/5/2023 6:00,0.00,23.56,84.86,0.15,185,1008.06,0.49
103,6/5/2023 7:00,0.00,24.50,84.96,1.72,15,1007.9,1.49
104,6/5/2023 8:00,0.00,27.20,85.30,2.70,19,1008,1.41
105,6/5/2023 9:00,0.00,29.90,93.16,4.95,14,1008.2,5.21
106,6/5/2023 10:00,0.00,31.10,84.06,5.88,17,1008.42,6.59
107,6/5/2023 11:00,0.00,32.74,78.60,4.49,15,1008.2,4.91
108,6/5/2023 12:00,0.00,33.74,74.88,4.35,16,1007.48,3.72
109,6/5/2023 13:00,0.00,33.70,73.30,4.21,,,2.37
110,6/5/2023 14:00,0.00,33.70,73.30,4.07,18,1005.94,2.49
111,6/5/2023 15:00,0.00,34.50,64.18,3.76,9,1005.44,0.16
112,6/5/2023 16:00,0.00,32.70,61.60,3.81,10,1005.22,0
113,6/5/2023 17:00,0.00,31.00,68.12,4.20,9,1005.8,0
114,6/5/2023 18:00,0.00,29.20,73.40,2.80,350,1006.5,0
115,6/5/2023 19:00,0.00,28.10,84.70,2.44,348,1007.66,0
116,6/5/2023 20:00,0.00,27.10,89.00,1.92,350,1008.1,0
117,6/5/2023 21:00,0.00,26.20,91.30,1.32,355,1008.9,0
118,6/5/2023 22:00,0.00,26.50,91.56,1.77,349,1009.4,0
119,6/5/2023 23:00,0.00,25.50,91.50,0.38,356,1009.36,0
120,6/6/2023 0:00,0.00,25.10,90.30,0.92,8,1009.1,0
121,6/6/2023 1:00,0.00,24.70,88.16,1.29,6,1008.44,0
122,6/6/2023 2:00,0.00,24.20,87.20,0.08,3,1007.7,0
123,6/6/2023 3:00,0.00,23.80,85.20,0.10,100,1007.54,0
124,6/6/2023 4:00,0.00,23.64,84.70,0.09,157,1007.52,0
125,6/6/2023 5:00,0.00,23.40,84.40,0.16,9,1007.64,0
126,6/6/2023 6:00,0.00,23.40,84.66,0.81,0,1008.04,2.43
127,6/6/2023 7:00,0.00,24.10,84.90,1.05,11,1008.4,0.2
128,6/6/2023 8:00,0.00,25.20,87.10,1.44,10,1009.28,2.05
129,6/6/2023 9:00,0.00,27.00,89.40,2.27,16,1009.6,1.24
130,6/6/2023 10:00,0.00,28.30,91.74,3.58,20,1009.52,2.14
131,6/6/2023 11:00,0.00,29.30,88.50,4.55,16,1009.16,2.3
132,6/6/2023 12:00,0.00,30.10,86.16,5.09,12,1008.84,1.74
133,6/6/2023 13:00,0.00,30.46,81.24,4.40,13,1007.92,1.66
134,6/6/2023 14:00,0.00,30.90,79.10,3.81,21,1007.3,2.65
135,6/6/2023 15:00,0.00,30.90,78.40,4.05,14,1006.78,0.55
136,6/6/2023 16:00,0.00,31.50,76.40,3.84,14,1006.6,0
137,6/6/2023 17:00,0.00,30.10,73.90,3.78,353,1007,0
138,6/6/2023 18:00,0.00,28.50,79.70,3.34,7,1007.44,0
139,6/6/2023 19:00,0.00,27.10,86.84,2.29,7,1008.1,0
140,6/6/2023 20:00,0.00,26.44,90.50,1.38,353,1008.8,0
141,6/6/2023 21:00,0.00,25.70,91.10,0.78,353,1009.32,0
142,6/6/2023 22:00,0.00,25.10,90.00,0.74,31,1009.9,0
143,6/6/2023 23:00,0.00,25.10,90.00,0.69,0,1009.9,0
144,6/7/2023 0:00,0.00,25.06,87.20,1.22,270,1009.78,0
145,6/7/2023 1:00,0.00,24.70,87.30,1.04,10,1009.56,0
146,6/7/2023 2:00,0.00,24.26,85.50,0.20,3,1008.9,0
147,6/7/2023 3:00,0.00,24.22,84.40,0.54,18,1008.68,0
148,6/7/2023 4:00,0.00,23.90,84.30,0.27,4,1008.48,0
149,6/7/2023 5:00,0.00,23.74,84.40,0.03,135,1008.56,0
150,6/7/2023 6:00,0.00,23.60,82.20,0.13,0,1008.62,2.43
151,6/7/2023 7:00,0.00,23.64,82.40,0.36,10,1009.46,0.38
152,6/7/2023 8:00,0.00,24.90,82.60,0.88,10,1010.4,1.71
153,6/7/2023 9:00,0.00,26.52,85.62,0.98,90,1010.4,1.67
154,6/7/2023 10:00,0.00,30.60,92.60,1.64,5,1010.2,1.8
155,6/7/2023 11:00,0.00,30.60,92.60,2.29,20,1009.72,2.32
156,6/7/2023 12:00,0.00,29.60,81.62,3.23,352,1009.3,1.15
157,6/7/2023 13:00,0.00,30.10,85.34,3.46,353,1008.6,2.78
158,6/7/2023 14:00,0.00,27.80,83.40,2.97,353,1008.3,2.89
159,6/7/2023 15:00,0.00,27.84,90.84,4.05,349,1007.82,0.1
160,6/7/2023 16:00,0.00,27.10,89.34,2.49,352,1007.6,0
161,6/7/2023 17:00,0.00,26.80,90.70,1.21,352,1007.76,0
162,6/7/2023 18:00,0.00,26.30,91.30,0.73,273,1008.4,0
163,6/7/2023 19:00,0.00,25.80,90.80,1.66,274,1009.1,0
164,6/7/2023 20:00,0.20,25.20,88.36,1.57,264,1009.2,0
165,6/7/2023 21:00,0.00,25.00,84.50,0.86,217,1010.1,0
166,6/7/2023 22:00,0.00,24.80,82.90,0.14,184,1010.64,0
167,6/7/2023 23:00,0.00,25.06,87.20,0.68,,,0
168,6/8/2023 0:00,3.80,24.40,82.20,1.40,217,1010.58,0
169,6/8/2023 1:00,0.20,24.40,82.40,1.73,270,1010.2,0
170,6/8/2023 2:00,0.00,24.30,82.70,2.02,245,1009.9,0
171,6/8/2023 3:00,0.40,24.30,82.94,1.74,234,1009.72,0
172,6/8/2023 4:00,0.20,24.42,83.00,1.21,244,1009.6,0
173,6/8/2023 5:00,0.20,24.40,83.10,0.45,157,1009.66,0
174,6/8/2023 6:00,0.00,24.30,83.20,0.90,168,1010.38,0.06
175,6/8/2023 7:00,0.00,24.50,83.40,1.24,180,1010.9,1.19
176,6/8/2023 8:00,0.00,25.00,83.90,0.96,184,1011.64,2.75
177,6/8/2023 9:00,0.00,27.00,84.56,0.98,45,1011.8,0.97
178,6/8/2023 10:00,0.00,27.90,93.20,1.63,350,1011.8,2.87
179,6/8/2023 11:00,0.00,29.00,91.00,1.80,352,1011.06,0.29
180,6/8/2023 12:00,1.00,26.44,87.28,2.11,353,1010.3,0.55
181,6/8/2023 13:00,1.80,26.00,92.40,2.83,214,1009.66,0.58
182,6/8/2023 14:00,0.00,27.20,90.48,1.14,204,1008.98,0.6
183,6/8/2023 15:00,0.00,28.20,92.50,0.77,225,1008.3,0.08
184,6/8/2023 16:00,0.00,28.60,90.50,0.67,328,1008.1,0
185,6/8/2023 17:00,0.00,28.30,90.00,0.28,12,1008.16,0
186,6/8/2023 18:00,0.00,27.00,90.90,0.40,12,1008.4,0
187,6/8/2023 19:00,0.00,26.00,90.60,1.40,152,1008.7,0
188,6/8/2023 20:00,0.00,25.50,86.48,0.64,145,1009.3,0
189,6/8/2023 21:00,0.00,25.70,85.00,0.74,331,1010.12,0
190,6/8/2023 22:00,0.00,25.60,84.30,0.15,332,1010.12,0
191,6/8/2023 23:00,0.00,25.50,83.50,0.25,348,1010,0
192,6/9/2023 0:00,0.00,25.20,83.60,0.08,17,1010.04,0
193,6/9/2023 1:00,0.00,24.80,83.70,0.73,266,1009.5,0
194,6/9/2023 2:00,0.00,24.80,83.70,0.05,45,1008.88,0
195,6/9/2023 3:00,0.00,24.46,82.60,0.03,0,1008.48,0
196,6/9/2023 4:00,0.00,24.10,83.10,0.00,10,1008.3,0
197,6/9/2023 5:00,0.00,23.68,83.60,0.04,10,1008.5,0
198,6/9/2023 6:00,0.00,23.50,83.80,0.15,185,1008.8,2.47
199,6/9/2023 7:00,0.00,24.40,84.40,0.38,104,1009.12,0.72
200,6/9/2023 8:00,0.00,26.96,85.70,0.66,61,1009.92,2.09
201,6/9/2023 9:00,0.00,29.60,91.04,1.99,350,1009.8,5.66
202,6/9/2023 10:00,0.00,30.80,88.88,3.02,354,1009.5,7.36
203,6/9/2023 11:00,0.00,32.70,82.70,3.16,353,1009.06,10.52
204,6/9/2023 12:00,0.00,33.04,73.28,3.60,256,1008.06,5.47
205,6/9/2023 13:00,0.00,33.40,70.76,4.31,249,1007.6,4.33
206,6/9/2023 14:00,0.00,33.72,64.22,3.45,275,1006.72,0.96
207,6/9/2023 15:00,0.00,34.10,61.04,3.08,263,1006.06,0.17
208,6/9/2023 16:00,0.00,33.40,60.78,3.22,346,1005.94,0.55
209,6/9/2023 17:00,0.00,31.54,63.78,2.83,342,1006.5,0
210,6/9/2023 18:00,0.00,28.30,70.74,1.58,347,1007.16,0
211,6/9/2023 19:00,0.00,26.02,81.90,0.39,346,1007.88,0
212,6/9/2023 20:00,0.00,25.10,91.90,0.23,332,1008.68,0
213,6/9/2023 21:00,0.00,25.00,92.10,0.61,330,1009.3,0
214,6/9/2023 22:00,0.00,24.26,91.40,0.13,2,1009.42,0
215,6/9/2023 23:00,0.00,24.14,86.80,0.15,0,1009.1,0
216,6/10/2023 0:00,0.00,23.90,85.00,0.00,0,1008.7,0
217,6/10/2023 1:00,0.00,23.50,84.10,0.08,,,0
218,6/10/2023 2:00,0.00,23.50,84.10,0.07,30,1007.8,0
219,6/10/2023 3:00,0.00,23.30,83.00,0.23,23,1007.44,0
220,6/10/2023 4:00,0.00,23.20,82.60,0.23,24,1007.58,0
221,6/10/2023 5:00,0.00,22.90,82.70,0.11,3,1007.9,0
222,6/10/2023 6:00,0.00,23.00,82.70,0.01,15,1008.36,2.43
223,6/10/2023 7:00,0.00,23.50,83.00,0.27,188,1009.1,0.08
224,6/10/2023 8:00,0.00,25.00,83.20,0.48,182,1009.7,2.37
225,6/10/2023 9:00,0.00,28.90,88.30,0.92,22,1009.58,3.08
226,6/10/2023 10:00,0.00,31.80,87.82,1.31,288,1009.22,3.5
227,6/10/2023 11:00,0.00,31.80,76.88,1.94,347,1008.6,5.46
228,6/10/2023 12:00,0.00,33.60,75.76,1.93,348,1007.62,8.46
229,6/10/2023 13:00,0.00,33.60,75.76,1.92,351,1006.68,2.17
230,6/10/2023 14:00,0.00,31.40,65.44,3.57,354,1006.1,2.29
231,6/10/2023 15:00,0.00,33.80,77.30,3.47,352,1005.4,0.12
232,6/10/2023 16:00,0.00,31.10,69.86,4.56,346,1005.6,0
233,6/10/2023 17:00,0.00,30.34,78.80,4.16,350,1005.68,0
234,6/10/2023 18:00,0.00,28.94,82.30,3.90,350,1006.32,0
235,6/10/2023 19:00,0.00,27.60,85.76,1.25,341,1007.24,0
236,6/10/2023 20:00,0.00,26.70,90.10,1.07,0,1007.98,0
237,6/10/2023 21:00,0.00,25.40,91.30,0.33,353,1008.38,0
238,6/10/2023 22:00,0.00,25.00,90.50,0.11,7,1008.42,0
239,6/10/2023 23:00,0.00,24.50,88.82,0.04,26,1008.5,0
240,6/11/2023 0:00,0.00,24.00,88.00,0.06,156,1008.4,0
241,6/11/2023 1:00,0.00,23.80,85.60,0.22,28,1007.94,0
242,6/11/2023 2:00,0.00,23.50,84.50,0.07,185,1007.8,0
243,6/11/2023 3:00,0.00,23.50,83.30,0.01,70,1007.52,0
244,6/11/2023 4:00,0.00,23.58,82.60,0.20,70,1007.6,0
245,6/11/2023 5:00,0.00,23.30,82.60,0.04,26,1007.88,0
246,6/11/2023 6:00,0.00,23.10,82.74,0.01,23,1008.34,2.45
247,6/11/2023 7:00,0.00,23.80,82.90,0.31,32,1009,0.2
248,6/11/2023 8:00,0.00,26.30,83.40,0.91,49,1009.7,2.61
249,6/11/2023 9:00,0.00,29.40,92.90,1.61,27,1009.7,0.52
250,6/11/2023 10:00,0.00,30.30,84.52,2.10,11,1009.3,6.07
251,6/11/2023 11:00,0.00,32.00,81.84,2.63,349,1008.6,4.37
252,6/11/2023 12:00,0.00,34.08,78.48,2.73,351,1007.42,3.59
253,6/11/2023 13:00,0.00,34.40,76.70,2.82,350,1006.5,3.04
254,6/11/2023 14:00,0.00,34.40,76.70,2.92,348,1005.6,0.8
255,6/11/2023 15:00,0.00,32.90,64.38,3.58,351,1005.44,0.18
256,6/11/2023 16:00,0.00,32.16,66.56,3.55,348,1005.4,0
257,6/11/2023 17:00,0.00,31.20,67.20,3.68,352,1005.86,0
258,6/11/2023 18:00,0.00,29.18,72.60,2.67,339,1006.5,0
259,6/11/2023 19:00,0.00,27.58,80.72,1.12,346,1007.3,0
260,6/11/2023 20:00,0.00,26.40,87.60,0.63,353,1008.42,0
261,6/11/2023 21:00,0.00,25.48,91.20,0.68,0,1009.2,0
262,6/11/2023 22:00,0.00,24.78,91.00,0.93,7,1009.18,0
263,6/11/2023 23:00,0.00,24.00,88.00,0.50,,,0
264,6/12/2023 0:00,0.00,24.20,89.50,0.44,12,1009.1,0
265,6/12/2023 1:00,0.00,24.10,86.50,1.08,8,1008.8,0
266,6/12/2023 2:00,0.00,24.20,87.10,1.16,0,1008.2,0
267,6/12/2023 3:00,0.00,23.50,86.50,0.86,348,1008.16,0
268,6/12/2023 4:00,0.00,23.50,86.50,0.56,19,1007.86,0
269,6/12/2023 5:00,0.00,23.20,82.10,1.06,5,1008.16,0
270,6/12/2023 6:00,0.00,23.32,82.06,0.94,5,1008.96,2.46
271,6/12/2023 7:00,0.00,24.10,82.40,0.37,342,1009.48,0.09
272,6/12/2023 8:00,0.00,26.20,82.60,1.76,12,1010.2,0.92
273,6/12/2023 9:00,0.00,28.80,91.44,2.16,16,1010.2,0.75
274,6/12/2023 10:00,0.00,29.80,88.20,2.61,16,1009.82,5.01
275,6/12/2023 11:00,0.00,31.50,83.50,2.17,16,1009.38,1.55
276,6/12/2023 12:00,0.00,31.10,79.22,1.58,0,1008.4,1.57
277,6/12/2023 13:00,0.00,31.80,79.94,1.64,348,1007.5,2.12
278,6/12/2023 14:00,0.00,33.00,76.82,3.08,343,1006.58,0.08
279,6/12/2023 15:00,0.00,32.40,72.34,3.44,353,1006.02,3.23
280,6/12/2023 16:00,0.00,31.92,71.60,3.59,352,1006.2,0
281,6/12/2023 17:00,0.00,30.50,76.84,4.10,353,1006.76,0
282,6/12/2023 18:00,0.00,29.10,79.70,3.08,351,1007.38,0
283,6/12/2023 19:00,0.00,27.50,85.60,1.03,352,1007.8,0
284,6/12/2023 20:00,0.00,26.84,90.30,0.13,336,1008.3,0
285,6/12/2023 21:00,0.00,25.80,90.90,0.02,342,1008.88,0
286,6/12/2023 22:00,0.00,25.50,88.20,0.38,116,1008.88,0
287,6/12/2023 23:00,0.00,25.50,88.20,0.74,32,1008.86,0
288,6/13/2023 0:00,0.00,24.90,88.40,0.17,151,1008.7,0
289,6/13/2023 1:00,0.00,25.20,85.40,0.92,40,1008.1,0
290,6/13/2023 2:00,0.00,24.90,87.00,0.23,90,1007.68,0
291,6/13/2023 3:00,0.00,24.90,85.50,0.67,52,1007.46,0
292,6/13/2023 4:00,0.00,24.76,86.00,0.36,90,1007.38,0
293,6/13/2023 5:00,0.00,24.80,85.20,0.07,65,1007.48,0
294,6/13/2023 6:00,0.00,24.90,84.60,0.43,90,1008.08,2.62
295,6/13/2023 7:00,0.00,25.50,84.40,0.48,85,1008.88,0.16
296,6/13/2023 8:00,0.00,27.30,85.80,0.62,18,1009.8,2.62
297,6/13/2023 9:00,0.00,29.90,88.40,1.45,104,2019.84,0.9
298,6/13/2023 10:00,0.00,30.38,87.46,2.21,353,1009.94,0.08
299,6/13/2023 11:00,3.40,27.70,85.24,2.71,352,1009.3,2.98
300,6/13/2023 12:00,2.00,30.80,90.10,2.56,353,1007.9,1.53
301,6/13/2023 13:00,22.40,23.90,80.84,6.73,24,1007.62,5.93
302,6/13/2023 14:00,0.00,31.50,87.10,2.52,23,1006.66,0.85
303,6/13/2023 15:00,0.20,29.90,80.84,3.75,16,1006.2,0.42
304,6/13/2023 16:00,0.00,29.40,86.40,2.57,9,1006.1,0
305,6/13/2023 17:00,0.00,28.90,88.18,0.51,256,1006.52,0
306,6/13/2023 18:00,2.00,25.92,89.64,0.98,177,1007.6,0
307,6/13/2023 19:00,0.80,25.80,89.86,0.60,101,1008.5,0
308,6/13/2023 20:00,0.00,26.00,86.10,0.23,98,1008.98,0
309,6/13/2023 21:00,0.00,25.90,82.22,0.19,22,1009.4,0
310,6/13/2023 22:00,0.00,25.60,81.06,0.29,160,1009.9,0
311,6/13/2023 23:00,0.00,25.60,81.06,0.38,14,1009.88,0
312,6/14/2023 0:00,0.00,25.56,82.10,0.06,114,1009.54,0
313,6/14/2023 1:00,0.00,25.60,81.80,0.13,114,1008.8,0
314,6/14/2023 2:00,0.00,25.40,81.90,0.49,180,1008.5,0
315,6/14/2023 3:00,12.60,23.40,81.20,2.24,82,1008.7,0
316,6/14/2023 4:00,0.00,23.80,81.90,0.25,152,1008.7,0
317,6/14/2023 5:00,0.00,23.70,82.10,0.27,8,1008.92,0
318,6/14/2023 6:00,0.00,24.30,82.30,0.07,201,1009.1,2.59
319,6/14/2023 7:00,0.00,25.10,83.10,0.24,128,1009.68,0.25
320,6/14/2023 8:00,0.00,26.60,84.06,0.74,247,1010.6,1.19
321,6/14/2023 9:00,0.20,28.80,90.12,1.88,22,1010.76,1.95
322,6/14/2023 10:00,0.00,30.20,89.92,2.51,11,1010.4,5.29
323,6/14/2023 11:00,0.00,31.70,85.04,1.80,353,1009.9,2.58
324,6/14/2023 12:00,0.00,32.20,77.88,1.79,359,1009.12,2.27
325,6/14/2023 13:00,0.00,32.60,73.40,1.67,268,1008.4,0.07
326,6/14/2023 14:00,0.00,29.50,73.02,3.44,232,1007.22,0.65
327,6/14/2023 15:00,0.00,30.06,83.80,2.44,255,1007.38,1.3
328,6/14/2023 16:00,0.00,29.70,81.18,3.11,346,1007.4,0.05
329,6/14/2023 17:00,0.00,28.88,87.18,1.53,268,1008.12,0
330,6/14/2023 18:00,6.20,25.20,84.80,2.15,336,1009.3,0
331,6/14/2023 19:00,0.40,24.80,88.20,2.71,175,1009.86,0
332,6/14/2023 20:00,0.00,24.60,83.78,1.56,171,1010.52,0
333,6/14/2023 21:00,0.00,24.50,83.38,0.69,167,1011.3,0
334,6/14/2023 22:00,0.00,24.40,82.34,0.42,,,0
335,6/14/2023 23:00,0.00,24.40,82.34,0.14,8,1010.76,0
336,6/15/2023 0:00,0.00,24.40,81.70,0.42,233,1010.78,0
337,6/15/2023 1:00,0.00,24.40,81.80,0.18,,,0
338,6/15/2023 2:00,0.00,24.40,81.80,0.30,116,1009.48,0
339,6/15/2023 3:00,0.00,24.14,81.90,0.36,127,1008.84,0
340,6/15/2023 4:00,0.00,24.10,82.30,0.02,184,1008.72,0
341,6/15/2023 5:00,0.00,24.00,82.80,0.11,131,1008.96,0
342,6/15/2023 6:00,0.00,23.90,83.40,0.30,102,1009.4,2.52
343,6/15/2023 7:00,0.20,24.40,84.10,0.17,34,1009.7,0.34
344,6/15/2023 8:00,0.00,26.80,84.50,0.94,10,1010.28,1.54
345,6/15/2023 9:00,0.00,29.10,92.04,1.95,7,1010.5,5.55
346,6/15/2023 10:00,0.00,30.40,86.60,2.30,351,1010.1,4.09
347,6/15/2023 11:00,0.00,31.80,86.40,2.37,350,1009.62,3.12
348,6/15/2023 12:00,0.00,29.31,83.05,2.39,349,1008.66,2.19
349,6/15/2023 13:00,0.00,27.53,81.70,2.41,348,1008.2,1.26
350,6/15/2023 14:00,0.40,25.80,80.84,2.42,274,1007.8,0.18
351,6/15/2023 15:00,0.20,25.80,80.84,2.44,205,1007.5,0.1
352,6/15/2023 16:00,0.40,25.34,91.70,1.45,168,1007.66,0.07
353,6/15/2023 17:00,0.20,25.10,90.38,1.29,159,1008.12,0
354,6/15/2023 18:00,0.00,25.10,90.38,1.13,118,1008.3,0
355,6/15/2023 19:00,0.00,24.80,87.50,0.36,180,1008.8,0
356,6/15/2023 20:00,0.00,24.60,85.30,0.77,147,1010.12,0
357,6/15/2023 21:00,0.00,24.30,83.40,0.29,180,1010.7,0
358,6/15/2023 22:00,0.00,24.40,83.00,0.04,172,1010.7,0
