datetime,rainfall,airtemp,airhum,windspeed,windir,airpress,uvrad
6/10/2023 23:00,0,24.5,88.82,0.04,26,1008.5,0
6/11/2023 0:00,0,24,88,0.06,156,1008.4,0
6/11/2023 1:00,0,23.8,85.6,0.22,28,1007.94,0
6/11/2023 2:00,0,23.5,84.5,0.07,185,1007.8,0
6/11/2023 3:00,0,23.5,83.3,0.01,70,1007.52,0
6/11/2023 4:00,0,23.58,82.6,0.2,70,1007.6,0
6/11/2023 5:00,0,23.3,82.6,0.04,26,1007.88,0
6/11/2023 6:00,0,23.1,82.74,0.01,23,1008.34,2.45
6/11/2023 7:00,0,23.8,82.9,0.31,32,1009,0.2
6/11/2023 8:00,0,26.3,83.4,0.91,49,1009.7,2.61
6/11/2023 9:00,0,29.4,92.9,1.61,27,1009.7,0.52
6/11/2023 10:00,0,30.3,84.52,2.1,11,1009.3,6.07
6/11/2023 11:00,0,32,81.84,2.63,349,1008.6,4.37
6/11/2023 12:00,0,34.08,78.48,2.73,351,1007.42,3.59
6/11/2023 13:00,0,34.4,76.7,2.82,350,1006.5,3.04
6/11/2023 14:00,0,34.4,76.7,2.92,348,1005.6,0.8
6/11/2023 15:00,0,32.9,64.38,3.58,351,1005.44,0.18
6/11/2023 16:00,0,32.16,66.56,3.55,348,1005.4,0
6/11/2023 17:00,0,31.2,67.2,3.68,352,1005.86,0
6/11/2023 18:00,0,29.18,72.6,2.67,339,1006.5,0
6/11/2023 19:00,0,27.58,80.72,1.12,346,1007.3,0
6/11/2023 20:00,0,26.4,87.6,0.63,353,1008.42,0
6/11/2023 21:00,0,25.48,91.2,0.68,0,1009.2,0
6/11/2023 22:00,0,24.78,91,0.93,7,1009.18,0
6/11/2023 23:00,0,24,88,0.5,76,1008.74,0
6/12/2023 0:00,0,24.2,89.5,0.44,12,1009.1,0
6/12/2023 1:00,0,24.1,86.5,1.08,8,1008.8,0
6/12/2023 2:00,0,24.2,87.1,1.16,0,1008.2,0
6/12/2023 3:00,0,23.5,86.5,0.86,348,1008.16,0
6/12/2023 4:00,0,23.5,86.5,0.56,19,1007.86,0
6/12/2023 5:00,0,23.2,82.1,1.06,5,1008.16,0
6/12/2023 6:00,0,23.32,82.06,0.94,5,1008.96,2.46
6/12/2023 7:00,0,24.1,82.4,0.37,342,1009.48,0.09
6/12/2023 8:00,0,26.2,82.6,1.76,12,1010.2,0.92
6/12/2023 9:00,0,28.8,91.44,2.16,16,1010.2,0.75
6/12/2023 10:00,0,29.8,88.2,2.61,16,1009.82,5.01
6/12/2023 11:00,0,31.5,83.5,2.17,16,1009.38,1.55
6/12/2023 12:00,0,31.1,79.22,1.58,0,1008.4,1.57
6/12/2023 13:00,0,31.8,79.94,1.64,348,1007.5,2.12
6/12/2023 14:00,0,33,76.82,3.08,343,1006.58,0.08
6/12/2023 15:00,0,32.4,72.34,3.44,353,1006.02,3.23
6/12/2023 16:00,0,31.92,71.6,3.59,352,1006.2,0
6/12/2023 17:00,0,30.5,76.84,4.1,353,1006.76,0
6/12/2023 18:00,0,29.1,79.7,3.08,351,1007.38,0
6/12/2023 19:00,0,27.5,85.6,1.03,352,1007.8,0
6/12/2023 20:00,0,26.84,90.3,0.13,336,1008.3,0
6/12/2023 21:00,0,25.8,90.9,0.02,342,1008.88,0
6/12/2023 22:00,0,25.5,88.2,0.38,116,1008.88,0
6/12/2023 23:00,0,25.5,88.2,0.74,32,1008.86,0
6/13/2023 0:00,0,24.9,88.4,0.17,151,1008.7,0
6/13/2023 1:00,0,25.2,85.4,0.92,40,1008.1,0
6/13/2023 2:00,0,24.9,87,0.23,90,1007.68,0
6/13/2023 3:00,0,24.9,85.5,0.67,52,1007.46,0
6/13/2023 4:00,0,24.76,86,0.36,90,1007.38,0
6/13/2023 5:00,0,24.8,85.2,0.07,65,1007.48,0
6/13/2023 6:00,0,24.9,84.6,0.43,90,1008.08,2.62
6/13/2023 7:00,0,25.5,84.4,0.48,85,1008.88,0.16
6/13/2023 8:00,0,27.3,85.8,0.62,18,1009.8,2.62
6/13/2023 9:00,0,29.9,88.4,1.45,104,2019.84,0.9
6/13/2023 10:00,0,30.38,87.46,2.21,353,1009.94,0.08
6/13/2023 11:00,3.4,27.7,85.24,2.71,352,1009.3,2.98
6/13/2023 12:00,2,30.8,90.1,2.56,353,1007.9,1.53
6/13/2023 13:00,22.4,23.9,80.84,6.73,24,1007.62,5.93
6/13/2023 14:00,0,31.5,87.1,2.52,23,1006.66,0.85
6/13/2023 15:00,0.2,29.9,80.84,3.75,16,1006.2,0.42
6/13/2023 16:00,0,29.4,86.4,2.57,9,1006.1,0
6/13/2023 17:00,0,28.9,88.18,0.51,256,1006.52,0
6/13/2023 18:00,2,25.92,89.64,0.98,177,1007.6,0
6/13/2023 19:00,0.8,25.8,89.86,0.6,101,1008.5,0
6/13/2023 20:00,0,26,86.1,0.23,98,1008.98,0
6/13/2023 21:00,0,25.9,82.22,0.19,22,1009.4,0
6/13/2023 22:00,0,25.6,81.06,0.29,160,1009.9,0
6/13/2023 23:00,0,25.6,81.06,0.38,14,1009.88,0
6/14/2023 0:00,0,25.56,82.1,0.06,114,1009.54,0
6/14/2023 1:00,0,25.6,81.8,0.13,114,1008.8,0
6/14/2023 2:00,0,25.4,81.9,0.49,180,1008.5,0
6/14/2023 3:00,12.6,23.4,81.2,2.24,82,1008.7,0
6/14/2023 4:00,0,23.8,81.9,0.25,152,1008.7,0
6/14/2023 5:00,0,23.7,82.1,0.27,8,1008.92,0
6/14/2023 6:00,0,24.3,82.3,0.07,201,1009.1,2.59
6/14/2023 7:00,0,25.1,83.1,0.24,128,1009.68,0.25
6/14/2023 8:00,0,26.6,84.06,0.74,247,1010.6,1.19
6/14/2023 9:00,0.2,28.8,90.12,1.88,22,1010.76,1.95
6/14/2023 10:00,0,30.2,89.92,2.51,11,1010.4,5.29
6/14/2023 11:00,0,31.7,85.04,1.8,353,1009.9,2.58
6/14/2023 12:00,0,32.2,77.88,1.79,359,1009.12,2.27
6/14/2023 13:00,0,32.6,73.4,1.67,268,1008.4,0.07
6/14/2023 14:00,0,29.5,73.02,3.44,232,1007.22,0.65
6/14/2023 15:00,0,30.06,83.8,2.44,255,1007.38,1.3
6/14/2023 16:00,0,29.7,81.18,3.11,346,1007.4,0.05
6/14/2023 17:00,0,28.88,87.18,1.53,268,1008.12,0
6/14/2023 18:00,6.2,25.2,84.8,2.15,336,1009.3,0
6/14/2023 19:00,0.4,24.8,88.2,2.71,175,1009.86,0
6/14/2023 20:00,0,24.6,83.78,1.56,171,1010.52,0
6/14/2023 21:00,0,24.5,83.38,0.69,167,1011.3,0
6/14/2023 22:00,0,24.4,82.34,0.42,139,1010.568,0
6/14/2023 23:00,0,24.4,82.34,0.14,8,1010.76,0
6/15/2023 0:00,0,24.4,81.7,0.42,233,1010.78,0
6/15/2023 1:00,0,24.4,81.8,0.18,133.6,1009.716,0
6/15/2023 2:00,0,24.4,81.8,0.3,116,1009.48,0
6/15/2023 3:00,0,24.14,81.9,0.36,127,1008.84,0
6/15/2023 4:00,0,24.1,82.3,0.02,184,1008.72,0
6/15/2023 5:00,0,24,82.8,0.11,131,1008.96,0
6/15/2023 6:00,0,23.9,83.4,0.3,102,1009.4,2.52
6/15/2023 7:00,0.2,24.4,84.1,0.17,34,1009.7,0.34
6/15/2023 8:00,0,26.8,84.5,0.94,10,1010.28,1.54
6/15/2023 9:00,0,29.1,92.04,1.95,7,1010.5,5.55
6/15/2023 10:00,0,30.4,86.6,2.3,351,1010.1,4.09
6/15/2023 11:00,0,31.8,86.4,2.37,350,1009.62,3.12
6/15/2023 12:00,0,29.31,83.05,2.39,349,1008.66,2.19
6/15/2023 13:00,0,27.53,81.7,2.41,348,1008.2,1.26
6/15/2023 14:00,0.4,25.8,80.84,2.42,274,1007.8,0.18
6/15/2023 15:00,0.2,25.8,80.84,2.44,205,1007.5,0.1
6/15/2023 16:00,0.4,25.34,91.7,1.45,168,1007.66,0.07
6/15/2023 17:00,0.2,25.1,90.38,1.29,159,1008.12,0
6/15/2023 18:00,0,25.1,90.38,1.13,118,1008.3,0
6/15/2023 19:00,0,24.8,87.5,0.36,180,1008.8,0
6/15/2023 20:00,0,24.6,85.3,0.77,147,1010.12,0
6/15/2023 21:00,0,24.3,83.4,0.29,180,1010.7,0
6/15/2023 22:00,0,24.4,83,0.04,172,1010.7,0
6/15/2023 23:00,0,24.5,81.8,0.33,86,1010.5,0
6/16/2023 0:00,0,24.5,82,0.17,37,1010.2,0
6/16/2023 1:00,0,24.6,82,0.27,116,1009.42,0
6/16/2023 2:00,0,24.5,82.3,0.29,270,1008.92,0
6/16/2023 3:00,0,24.4,82.4,0.43,211,1008.78,0
6/16/2023 4:00,0,24.4,82.5,0.24,180,1008.9,0
6/16/2023 5:00,0,24.3,82.6,0.47,147,1008.82,0
6/16/2023 6:00,0,24.24,83,0.31,101,1009.44,2.5
6/16/2023 7:00,0,24.5,83.3,0.86,97,1009.82,0.35
6/16/2023 8:00,0,25.2,83.4,1.33,67,1010.92,1.56
6/16/2023 9:00,0,26.66,85.26,1.75,14,1011.1,2.73
6/16/2023 10:00,0,28.44,93.32,2.28,19,1011,1.36
6/16/2023 11:00,0,29.18,89.48,2.73,15,1010.7,2.29
6/16/2023 12:00,20.4,22.5,86.84,5.56,178,1011.16,2.31
6/16/2023 13:00,5.4,22.8,84.9,1.96,170,1009.32,0.8
6/16/2023 14:00,2.2,23.14,82.8,1.41,195,1008.78,0.06
6/16/2023 15:00,0.6,23.1,84.3,2.77,352,1007.72,0.06
6/16/2023 16:00,0.2,23.6,84.3,3.3,355,1007.66,0
6/16/2023 17:00,0,23.6,84.12,3.38,348,1007.4,0
6/16/2023 18:00,0,23.3,86.2,0.89,15,1007.9,0
6/16/2023 19:00,0,23,87.68,0.41,26,1008.3,0
6/16/2023 20:00,0,22.8,85.6,0.82,165,1009,0
6/16/2023 21:00,0,22.4,83.9,0.21,32,1009.38,0
6/16/2023 22:00,0,22.5,83.36,0.32,135,1009.88,0
6/16/2023 23:00,0,22.4,83.4,0.39,96,1009.86,0
6/17/2023 0:00,0,22.4,83.7,0.37,17,1009.98,0
6/17/2023 1:00,0,22.4,84,0,17,1009.22,0
6/17/2023 2:00,0,22.3,84.3,0.14,195,1009.06,0
6/17/2023 3:00,0,22.2,84.54,0.14,189,1008.68,0
6/17/2023 4:00,0,22,84.9,0.22,65,1008.6,0
6/17/2023 5:00,0,21.8,85.3,0.06,147,1009.08,0
6/17/2023 6:00,0,21.8,85.5,0.07,189,1009.4,2.3
6/17/2023 7:00,0,22.8,86.04,0.17,189,1009.8,0.19
6/17/2023 8:00,0,24.1,88.26,0.94,180,1010.8,2.62
6/17/2023 9:00,0,26.4,85.5,0.65,172,1011,2.66
6/17/2023 10:00,0,28.9,94.92,0.93,6,1010.9,6.02
6/17/2023 11:00,0,31.5,88.5,1.1,19,1010.28,3.46
6/17/2023 12:00,0,30.6,78.36,1.42,20,1009.3,3.16
6/17/2023 13:00,0,30.8,79.36,1.9,80.4,1007.476,2.74
6/17/2023 14:00,0,30.8,79.36,2.37,11,1007.12,1.6
6/17/2023 15:00,0,34.9,80.36,1.32,8,1006.7,0.84
6/17/2023 16:00,0,31.26,66.52,1.96,227,1006.5,0.13
6/17/2023 17:00,0,32.2,77.62,1.84,353,1006.86,0
